MSW05_Binomial,MSW05_Order,MSW05_Family,domestic
Ammotragus lervia,Artiodactyla,Bovidae,0
Axis axis,Artiodactyla,Cervidae,0
Blastocerus dichotomus,Artiodactyla,Cervidae,0
Bos taurus,Artiodactyla,Bovidae,1
Capra hircus,Artiodactyla,Bovidae,1
Catagonus wagneri,Artiodactyla,Tayassuidae,0
Cervus canadensis,Artiodactyla,Cervidae,0
Cervus elaphus,Artiodactyla,Cervidae,0
Dama dama,Artiodactyla,Cervidae,0
Hippocamelus antisensis,Artiodactyla,Cervidae,0
Hippocamelus bisulcus,Artiodactyla,Cervidae,0
Lama guanicoe,Artiodactyla,Camelidae,0
Mazama americana,Artiodactyla,Cervidae,0
Mazama bororo,Artiodactyla,Cervidae,0
Mazama bricenii,Artiodactyla,Cervidae,0
Mazama chunyi,Artiodactyla,Cervidae,0
Mazama gouazoubira,Artiodactyla,Cervidae,0
Mazama nana,Artiodactyla,Cervidae,0
Mazama nemorivaga,Artiodactyla,Cervidae,0
Mazama pandora,Artiodactyla,Cervidae,0
Mazama rufina,Artiodactyla,Cervidae,0
Mazama temama,Artiodactyla,Cervidae,0
Odocoileus virginianus,Artiodactyla,Cervidae,0
Ovis aries,Artiodactyla,Bovidae,1
Ozotoceros bezoarticus,Artiodactyla,Cervidae,0
Pecari tajacu,Artiodactyla,Tayassuidae,0
Pudu mephistophiles,Artiodactyla,Cervidae,0
Pudu puda,Artiodactyla,Cervidae,0
Sus scrofa,Artiodactyla,Suidae,0
Tayassu pecari,Artiodactyla,Tayassuidae,0
Vicugna vicugna,Artiodactyla,Camelidae,0
Atelocynus microtis,Carnivora,Canidae,0
Bassaricyon alleni,Carnivora,Procyonidae,0
Bassaricyon gabbii,Carnivora,Procyonidae,0
Bassaricyon medius,Carnivora,Procyonidae,0
Bassaricyon neblina,Carnivora,Procyonidae,0
Bassariscus astutus,Carnivora,Procyonidae,0
Bassariscus sumichrasti,Carnivora,Procyonidae,0
Canis familiaris,Carnivora,Canidae,1
Canis latrans,Carnivora,Canidae,0
Canis lupus,Carnivora,Canidae,0
Cerdocyon thous,Carnivora,Canidae,0
Chrysocyon brachyurus,Carnivora,Canidae,0
Conepatus chinga,Carnivora,Mephitidae,0
Conepatus humboldtii,Carnivora,Mephitidae,0
Conepatus leuconotus,Carnivora,Mephitidae,0
Conepatus semistriatus,Carnivora,Mephitidae,0
Dusicyon avus,Carnivora,Caviidae,0
Eira barbara,Carnivora,Mustelidae,0
Felis catus,Carnivora,Felidae,1
Galictis cuja,Carnivora,Mustelidae,0
Galictis vittata,Carnivora,Mustelidae,0
Herpestes javanicus,Carnivora,Herpestidae,0
Leopardus colocolo,Carnivora,Felidae,0
Leopardus geoffroyi,Carnivora,Felidae,0
Leopardus guigna,Carnivora,Felidae,0
Leopardus guttulus,Carnivora,Felidae,0
Leopardus pardalis,Carnivora,Felidae,0
Leopardus tigrinus,Carnivora,Felidae,0
Leopardus wiedii,Carnivora,Felidae,0
Lontra longicaudis,Carnivora,Mustelidae,0
Lontra provocax,Carnivora,Mustelidae,0
Lycalopex culpaeus,Carnivora,Canidae,0
Lycalopex fulvipes,Carnivora,Canidae,0
Lycalopex griseus,Carnivora,Canidae,0
Lycalopex gymnocercus,Carnivora,Canidae,0
Lycalopex sechurae,Carnivora,Canidae,0
Lycalopex vetulus,Carnivora,Canidae,0
Lyncodon patagonicus,Carnivora,Mustelidae,0
Mephitis macroura,Carnivora,Mephitidae,0
Mustela africana,Carnivora,Mustelidae,0
Mustela felipei,Carnivora,Mustelidae,0
Mustela frenata,Carnivora,Mustelidae,0
Nasua narica,Carnivora,Procyonidae,0
Nasua nasua,Carnivora,Procyonidae,0
Nasuella meridensis,Carnivora,Procyonidae,0
Nasuella olivacea,Carnivora,Procyonidae,0
Neovison vison,Carnivora,Mustelidae,0
Oreailurus jacobita,Carnivora,Felidae,0
Otaria byronia,Carnivora,Otariidae,0
Panthera onca,Carnivora,Felidae,0
Potos flavus,Carnivora,Procyonidae,0
Procyon cancrivorus,Carnivora,Procyonidae,0
Procyon lotor,Carnivora,Procyonidae,0
Procyon pygmaeus,Carnivora,Procyonidae,0
Pteronura brasiliensis,Carnivora,Mustelidae,0
Puma concolor,Carnivora,Felidae,0
Puma yagouaroundi,Carnivora,Felidae,0
Speothos venaticus,Carnivora,Canidae,0
Spilogale angustifrons,Carnivora,Mephitidae,0
Spilogale gracilis,Carnivora,Mephitidae,0
Spilogale pygmaea,Carnivora,Mephitidae,0
Tremarctos ornatus,Carnivora,Ursidae,0
Urocyon cinereoargenteus,Carnivora,Canidae,0
Vulpes vulpes,Carnivora,Canidae,0
Inia geoffrensis,Cetacea,Iniidae,0
