species,MSW05_Binomial,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Abrocoma bennettii,Abrocoma bennettii,38.31094986,-27.00773814,56.59856435,-73.97873044,-8.376549749,-2.66096717,-10.03010004,0.567903278,-0.135516183,-0.85567105
Abrocoma cinerea,Abrocoma cinerea,38.31094986,-27.00773814,56.59856435,-73.97873044,-8.376549749,-2.66096717,-10.03010004,0.567903278,-0.135516183,-0.85567105
Abrothrix andinus,Abrothrix andinus,64.3871948,-52.57347546,-40.52789579,15.67121663,-2.271842225,-0.982416134,-5.988085058,0.391193037,0.027847534,-0.659982684
Abrothrix illuteus,Abrothrix illutea,64.3876214,-52.57387674,-40.52865851,15.67158768,-2.271949456,-0.982477108,-5.988675256,0.391234757,0.027851457,-0.660112735
Abrothrix jelskii,Abrothrix jelskii,64.3871948,-52.57347546,-40.52789579,15.67121663,-2.271842225,-0.982416134,-5.988085058,0.391193037,0.027847534,-0.659982684
Abrothrix lanosus,Abrothrix lanosus,64.38792895,-52.57416604,-40.52920832,15.67185515,-2.272026735,-0.982521044,-5.989100408,0.391264808,0.027854282,-0.660206336
Abrothrix longipilis,Abrothrix longipilis,64.38792895,-52.57416604,-40.52920832,15.67185515,-2.272026735,-0.982521044,-5.989100408,0.391264808,0.027854282,-0.660206336
Abrothrix olivaceus,Abrothrix olivaceus,64.38559626,-52.57197179,-40.52503806,15.66982641,-2.271440548,-0.98218776,-5.985875153,0.391036836,0.027832849,-0.659496123
Aconaemys fuscus,Aconaemys fuscus,38.58308185,-27.22909322,57.76260571,-75.90786381,-8.829061273,-2.854805318,-11.26817471,0.644900211,-0.161454258,-1.114074849
Aconaemys porteri,Aconaemys porteri,38.58294059,-27.22897837,57.76200509,-75.90687082,-8.828831098,-2.854707471,-11.26756164,0.644862249,-0.161441708,-1.113953804
Aconaemys sagei,Aconaemys sagei,38.58308185,-27.22909322,57.76260571,-75.90786381,-8.829061273,-2.854805318,-11.26817471,0.644900211,-0.161454258,-1.114074849
Aegialomys xanthaeolus,Oryzomys xanthaeolus,64.57705,-52.75214819,-40.86928337,15.8376799,-2.320487626,-1.010274282,-6.262546158,0.410670799,0.029710407,-0.723512803
Aepeomys lugens,Aepeomys lugens,63.90349046,-52.11829626,-39.65893383,15.24766142,-2.148290551,-0.911741968,-5.293769121,0.341950456,0.023150588,-0.500516469
Akodon aerosus,Akodon aerosus,64.50335541,-52.68278272,-40.73650301,15.77288311,-2.301477897,-0.999360677,-6.154357904,0.402982362,0.028970728,-0.698037527
Akodon affinis,Akodon affinis,64.50942599,-52.68849465,-40.74739358,15.77818852,-2.303021315,-1.00024202,-6.1629791,0.403593206,0.029028751,-0.699993668
Akodon albiventer,Akodon albiventer,64.51130265,-52.69026051,-40.75076192,15.77982975,-2.303499216,-1.000515077,-6.165653977,0.403782792,0.029046784,-0.700602963
Akodon azarae,Akodon azarae,64.51308827,-52.69194065,-40.75396558,15.78139049,-2.303953327,-1.000774416,-6.168191424,0.40396259,0.029063866,-0.701179092
Akodon boliviensis,Akodon boliviensis,64.51002438,-52.68905769,-40.74846707,15.77871148,-2.303173442,-1.000328887,-6.163828761,0.403653407,0.029034469,-0.700186418
Akodon budini,Akodon budini,64.50408687,-52.68347095,-40.737815,15.77352221,-2.301663753,-0.999466783,-6.155395249,0.403055853,0.028977705,-0.69827255
Akodon cursor,Akodon cursor,64.51382261,-52.69263161,-40.7552831,15.78203235,-2.304140085,-1.000881072,-6.169235005,0.404036536,0.029070892,-0.70141605
Akodon dayi,Akodon dayi,64.51381117,-52.69262085,-40.75526258,15.78202235,-2.304137181,-1.000879415,-6.169218828,0.40403539,0.029070783,-0.701412399
Akodon dolores,Akodon dolores,64.51388531,-52.69269061,-40.7553956,15.78208716,-2.304156036,-1.000890183,-6.169324182,0.404042855,0.029071493,-0.701436318
Akodon fumeus,Akodon fumeus,64.50994122,-52.68897944,-40.74831788,15.7786388,-2.3031523,-1.000316814,-6.163710683,0.403645041,0.029033674,-0.700159633
Akodon iniscatus,Akodon iniscatus,64.51193449,-52.69085503,-40.75189553,15.78038201,-2.303659902,-1.000606843,-6.166551845,0.403846413,0.029052828,-0.700806823
Akodon juninensis,Akodon juninensis,64.51002438,-52.68905769,-40.74846707,15.77871148,-2.303173442,-1.000328887,-6.163828761,0.403653407,0.029034469,-0.700186418
Akodon kofordi,Akodon kofordi,64.50994122,-52.68897944,-40.74831788,15.7786388,-2.3031523,-1.000316814,-6.163710683,0.403645041,0.029033674,-0.700159633
Akodon latebricola,Akodon latebricola,64.50329794,-52.68272865,-40.73640012,15.77283302,-2.301463382,-0.999352409,-6.154277512,0.402976674,0.028970191,-0.698019584
Akodon lindberghi,Akodon lindberghi,64.51326616,-52.69210803,-40.75428471,15.78154596,-2.30399856,-1.000800246,-6.168444134,0.403980496,0.029065567,-0.701236453
Akodon lutescens,Akodon lutescens,64.50999023,-52.68902556,-40.7484058,15.77868163,-2.30316476,-1.000323929,-6.163780273,0.403649972,0.029034143,-0.700175419
Akodon mimus,Akodon mimus,64.50718594,-52.68638695,-40.74337507,15.7762309,-2.302451843,-0.999916843,-6.159798505,0.403367853,0.029007347,-0.699272146
Akodon molinae,Akodon molinae,64.51388531,-52.69269061,-40.7553956,15.78208716,-2.304156036,-1.000890183,-6.169324182,0.404042855,0.029071493,-0.701436318
