"","x"
"1","Aegialomys galapagoensis"
"2","Aegialomys xanthaeolus"
"3","Baeodon alleni"
"4","Baeodon gracilis"
"5","Callibella humilis"
"6","Cebuella pygmaea"
"7","Cerradomys maracajuensis"
"8","Cerradomys marinhus"
"9","Cerradomys scotti"
"10","Cheracebus lucifer"
"11","Cheracebus lugens"
"12","Cheracebus regulus"
"13","Cheracebus torquatus"
"14","Cheracebus torquatus"
"15","Coendou spinosus"
"16","Coendou ichillus"
"17","Coendou mexicanus"
"18","Coendou insidiosus"
"19","Coendou melanurus"
"20","Coendou pruinosus"
"21","Coendou roosmalenorum"
"22","Coendou rufescens"
"23","Coendou vestitus"
"24","Cryptonanus ignitus"
"25","Cuniculus paca"
"26","Eremoryzomys polius"
"27","Euryoryzomys lamia"
"28","Euryoryzomys legatus"
"29","Euryoryzomys macconnelli"
"30","Euryoryzomys russatus"
"31","Gardnerycteris crenulatum"
"32","Geoxus annectens"
"33","Gyldenstolpia fronto"
"34","Handleyomys chapmani"
"35","Handleyomys saturatior"
"36","Herpailurus yagouaroundi"
"37","Heterogeomys cherriei"
"38","Heterogeomys dariensis"
"39","Heterogeomys lanius"
"40","Heteromys adspersus"
"41","Heteromys irroratus"
"42","Heteromys pictus"
"43","Heteromys salvini"
"44","Heteromys spectabilis"
"45","Hylaeamys acritus"
"46","Hylaeamys laticeps"
"47","Hylaeamys megacephalus"
"48","Hylaeamys oniscus"
"49","Hylaeamys tatei"
"50","Hylaeamys yunganus"
"51","Ictidomys mexicanus"
"52","Leontocebus fuscicollis"
"53","Leontocebus nigricollis"
"54","Leontocebus tripartitus"
"55","Leopardus jacobita"
"56","Marmosa regina"
"57","Mico acariensis"
"58","Mico emiliae"
"59","Mico leucippe"
"60","Mico marcai"
"61","Mico mauesi"
"62","Mico saterei"
"63","Mindomys hammondi"
"64","Neomicroxus bogotensis"
"65","Neomicroxus latebricola"
"66","Neotamias bulleri"
"67","Nephelomys albigularis"
"68","Nephelomys auriventer"
"69","Nephelomys caracolus"
"70","Nephelomys devius"
"71","Nephelomys keaysi"
"72","Nephelomys levipes"
"73","Nephelomys meridensis"
"74","Otospermophilus variegatus"
"75","Pattonomys semivillosus"
"76","Perimyotis subflavus"
"77","Plecturocebus baptista"
"78","Plecturocebus bernhardi"
"79","Plecturocebus cinerascens"
"80","Plecturocebus cupreus"
"81","Plecturocebus discolor"
"82","Plecturocebus dubius"
"83","Plecturocebus hoffmannsi"
"84","Plecturocebus modestus"
"85","Plecturocebus moloch"
"86","Plecturocebus oenanthe"
"87","Plecturocebus olallae"
"88","Plecturocebus ornatus"
"89","Plecturocebus pallescens"
"90","Santamartamys rufodorsalis"
"91","Sapajus apella"
"92","Sapajus libidinosus"
"93","Sapajus nigritus"
"94","Sapajus xanthosternos"
"95","Tanyuromys aphrastus"
"96","Toromys rhipidurus"
"97","Transandinomys bolivaris"
"98","Transandinomys talamancae"
