species,amazonensis.ref,amazonensis.reservoir,braziliensis.ref,braziliensis.reservoir,enriettii.ref,enriettii.reservoir,guyanensis.ref,guyanensis.reservoir,lainsoni.ref,lainsoni.reservoir,lindenbergi.ref,lindenbergi.reservoir,mexicana.ref,mexicana.reservoir,naiffi.ref,naiffi.reservoir,panamensis.ref,panamensis.reservoir,peruviana.ref,peruviana.reservoir,shawi.ref,shawi.reservoir,venezuelensis.ref,venezuelensis.reservoir,colombiensis.ref,colombiensis.reservoir,infantum.ref,infantum.reservoir
Agouti paca,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/1843391/,3,,,,,,,,,,,,,,,,,,
Akodon cursor,,,https://doi.org/10.1371/journal.pone.0190315,3,,,,,,,,,,,,,,,,,,,,,,,,
Akodon montensis,,,https://doi.org/10.1590/S0034-89101972000300003,3,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta caraya,https://doi.org/10.1016/j.actatropica.2020.105534,1,https://doi.org/10.1016/j.actatropica.2020.105534,1,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Alouatta palliata,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23165742/,1,,,,,,,,,,,,,,
Alouatta pigra,,,,,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/23165742/,1,,,,,,,,,,,,,,
Alouatta seniculus,,,,,,,2021 review,1,,,,,,,,,,,,,,,,,,,2021 review,1
Aotus trivirgatus,,,"https://doi.org/10.4269/ajtmh.1981.30.54, https://doi.org/10.4269/ajtmh.1976.25.54",3,,,,,,,,,,,,,,,,,,,,,,,,
Artibeus jamaicensis,,,,,,,,,,,,,https://doi.org/10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,,
Artibeus lituratus,10.1016/j.actatropica.2015.07.010,1,,,,,,,,,,,https://doi.org/10.1371/journal.pntd.0003439,1,,,,,,,,,,,,,2021 review,1
Artibeus planirostris,10.1016/j.actatropica.2015.07.010,1,https://doi.org/10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Baiomys taylori,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055336/pdf/pntd.0005004.pdf,1,,,,,,,,,,,,,,
Bradypus tridactylus,,,,,,,,,,,,,,,,,"Shaw JJ (1985). The hemoflagellates of sloths, vermilinguas (anteaters) and armadillos. In: Montgomery GG (Editor), The Evolution and Ecology of Armadillos, Sloths and Vermilinguas. Smithsonian Institution Press, Washington and London, 279-292",3,,,https://patua.iec.gov.br/handle/iec/2711,3,,,,,,
Bradypus variegatus,,,https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,4,,,,,,,,,,,,,,,,,,,,,,,,
Caluromys philander,,,https://www.scirp.org/pdf/OJAS_2017072015355964.pdf,4,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix penicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Callithrix jacchus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Canis familiaris,,,10.1590/1678-4162-8881; 10.1016/j.trstmh.2011.07.005; 10.4269/ajtmh.1994.50.158; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3335684/pdf/tropmed-86-807.pdf,3,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3083732/pdf/tropmed-84-674.pdf,1,,,,,https://pubmed.ncbi.nlm.nih.gov/30500369/;https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-2-S1-S1/tables/1,1,,,https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-2-S1-S1/tables/1; https://pubmed.ncbi.nlm.nih.gov/8024347/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3335684/pdf/tropmed-86-807.pdf,3,https://pubmed.ncbi.nlm.nih.gov/10492779/; https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-2-S1-S1/tables/1; 10.1016/j.actatropica.2017.12.008,3,,,,,,,,
Carollia perspicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1590/s0074-02762008000400018,3
Carollia sowelli,,,,,,,,,,,,,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003438#sec011,1,,,,,,,,,,,,,,
Cavia aperea,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Cavia porcellus,,,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.584.7077&rep=rep1&type=pdf; https://doi.org/10.1590/1678-4162-11459,3,,,,,,,,,,,,,,,,,,,,,,
Cebus apella,,,,,,,,,,,,,,,,,,,,,https://patua.iec.gov.br/handle/iec/2711,3,,,,,,
Cerdocyon thous,https://doi.org/10.1016/j.ijppaw.2014.08.004,1,,,,,,,,,,,,,,,,,,,,,,,,,10.1017/s0031182002002238,2
Cerradomys subflavus,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5746269/pdf/pone.0190315.pdf,3,,,,,,,,,,,,,,,,,,,,,,,,
Chiropotes satanas,,,,,,,,,,,,,,,,,,,,,10.1016/0035-9203(88)90424-5; 10.1051/parasite/1989643200,3,,,,,,
Choeroniscus godmani,,,,,,,,,,,,,https://doi.org/10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,,
Choloepus didactylus,,,,,,,https://www.cabdirect.org/cabdirect/abstract/19822900700; https://doi.org/10.1016/0035-9203(89)90374-X; https://doi.org/10.1016/0035-9203(81)90222-4; https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,4,,,,,,,,,,,,,https://patua.iec.gov.br/handle/iec/2711,3,,,,,,
Choloepus hoffmanni,,,https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,4,,,,,,,,,,,,,https://link-springer-com.laneproxy.stanford.edu/article/10.1007/s00436-019-06253-6/tables/1,3,,,,,,,https://doi.org/10.4269/ajtmh.1991.44.662,3,,
Chrysocyon brachyurus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,3
Clyomys laticeps,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0570,1
Sphiggurus villosus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 reivew,1
Sphiggurus spinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Coendou prehensilis,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scielo.br/j/mioc/a/N3MtqcNfy93Qsbh6V9m6QFS/?format=pdf&lang=en,1
Conepatus chinga,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0340; https://www.scielo.br/pdf/mioc/v94n1/3525.pdf,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynomops planirostris,,,10.1016/j.ijppaw.2020.02.008,1,,,,,,,,,,,,,,,,,,,,,,,,
Dasyprocta azarae,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2213224414000273#bib0570,1
Dasypus novemcinctus,,,,,,,10.1016/0035-9203(79)90225-6,3,,,,,,,https://www.scielo.br/pdf/mioc/v86n3/vol86(f3)_043-047.pdf,4,,,,,,,,,,,,
Dasypus septemcinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Dermanura phaeotis,,,,,,,,,,,,,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003438#sec011,1,,,,,,,,,,,,,,
Desmodus rotundus,10.1016/j.actatropica.2015.07.010,1,,,,,,,,,,,10.1371/journal.pntd.0003438,1,,,,,,,,,,,,,2021 review,1
Didelphis albiventris,https://www.scirp.org/pdf/OJAS_2017072015355964.pdf,4,https://doi.org/10.1016/j.trstmh.2011.07.005; 10.1089/vbz.2016.2001; https://doi.org/10.1371/journal.pone.0187704; https://doi.org/10.1186/s12917-015-0392-y; 10.1089/vbz.2006.0651,1,,,,,,,,,,,,,,,https://doi.org/10.1016/S0035-9203(99)90163-3,3,,,,,,,https://www.scielo.br/j/mioc/a/gSNt3GLXSvJZzBCJ5tYfr7N/?; https://www.scielo.br/j/mioc/a/yVHtrrWxqBQWcPwzqmY9wNq/?format=pdf&lang=enformat=pdf&lang=en,3
Didelphis aurita,,,,,,,,,,,,,,,,,,,,,,,,,,,https://link.springer.com/article/10.1186/1756-3305-5-111,2
Didelphis aurita,,,,,,,,,,,,,DOI:10.1590/S0036-46651985000400002,4,,,,,,,,,,,,,,
Didelphis marsupialis,https://doi.org/10.4269/ajtmh.1991.44.645; https://patua.iec.gov.br/bitstream/handle/iec/2767/The%20opossum%2C%20Didelphis%20marsupialis%20%28Marsupialia%20%3A%20Didelphidae%29%2C%20as%20a%20reservoir%20host%20of%20Leishmania%20braziliensis%20guyanensis%20in%20the%20Amazon%20Basin%20of%20Brazil.pdf?sequence=1&isAllowed=y,3,2021 review,3,,,https://doi.org/10.1016/0035-9203(81)90194-2; https://doi.org/10.1016/0035-9203(89)90374-X,3,,,,,,,,,,,,,,,,,,,10.1017/S0031182009991156,3
Didelphis pernigra,,,https://www.scirp.org/pdf/OJAS_2017072015355964.pdf,4,,,,,,,,,,,,,,,https://www.scirp.org/pdf/OJAS_2017072015355964.pdf,4,,,,,,,,
Eira barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 review,1
Equus asinus,,,10.1590/s0074-02761986000200016; https://doi.org/10.1016/0035-9203(92)90544-M; 10.1371/journal.pone.0093731; 10.1016/0035-9203(92)90544-m,3,,,,,,,,,,,,,,,,,,,,,,,,
